ID,Arew,Apun,betaF,betaB,Arew_qnormed,Apun_qnormed
5004,0.06415169,0.018402765,1.852657384,0.943641514,-1.597483346,-2.194735724
5007,0.054896239,0.030023253,-0.053652271,0.742644293,-1.6942175,-1.99094267
5019,0.048320518,0.046302856,0.598179087,0.670588222,-1.743366163,-1.75974154
5020,0.058439956,0.032607981,0.162275372,1.406067695,-1.654977486,-1.951456395
5021,0.043463246,0.061536882,-1.59329775,1.387679406,-1.790942817,-1.626139933
5027,0.042402983,0.127527898,2.559646897,1.840839932,-1.781236727,-1.159947587
5028,0.058391779,0.022215945,3.046640672,0.719062774,-1.630837843,-2.123832483
5029,0.064764762,0.015116603,-4.883234501,0.217366501,-1.567325686,-2.273848586
5034,0.05184441,0.093423092,4.489655193,2.287442805,-1.666820639,-1.350028482
5045,0.050497203,0.040369439,4.693513906,1.03147599,-1.696839462,-1.812944283
5056,0.05220077,0.021103905,1.165704231,0.564010753,-1.706639185,-2.153863816
5061,0.056001568,0.036629938,-1.593829274,1.431900314,-1.672952268,-1.904579311
5062,0.070016636,0.023376371,0.154253753,1.45369193,-1.57717796,-2.095301493
5075,0.045457507,0.093181363,5.868881363,1.652726965,-1.747394636,-1.349828049
5080,0.088746426,0.017494713,6.203471091,1.855404574,-1.407465052,-2.233985605
5090,0.089277306,0.056980046,9.874215959,1.390006761,-1.380974521,-1.612221166
5091,0.053281562,0.014316553,5.035077376,-0.010244529,-1.652481584,-2.280646201
5094,0.086590333,0.046257897,4.648006066,1.234867477,-1.449624229,-1.802386445
5096,0.059924747,0.04133765,6.028913854,1.125871947,-1.603050475,-1.785054477
5116,0.102097873,0.06438317,8.508317555,1.582257373,-1.302502748,-1.546254965
5117,0.050423056,0.048956781,0.258207461,0.671095179,-1.726623721,-1.744219665
5124,0.063968034,0.082562039,4.351715189,1.056106942,-1.584366041,-1.417438859
5125,0.062775656,0.027849421,0.849515587,1.284696771,-1.618705591,-2.023863543
5126,0.058421919,0.148094138,4.050143502,0.683440196,-1.606730826,-1.079017606
5132,0.046070715,0.003517023,-9.730347383,2.283039963,-1.70107516,-2.793444717
5136,0.043847776,0.120707895,-2.643299294,1.972529931,-1.798534556,-1.210367575
5137,0.070088368,0.018392493,-1.066695346,0.618138837,-1.568979473,-2.201942093
5138,0.079844817,0.089811128,8.338574372,1.745878174,-1.436730732,-1.358260756
5139,0.044301232,0.06414821,-0.454648386,1.905299481,-1.795032522,-1.598594038
5140,0.057249114,0.031264155,5.136587691,0.794850853,-1.626975994,-1.917795546
5150,0.047314018,0.036024869,1.238074327,0.56374338,-1.757337715,-1.90451732
5164,0.052641846,0.063104679,4.490015719,1.459671473,-1.689686215,-1.574392059
5165,0.047682152,0.016480601,3.681141715,0.542547422,-1.726259079,-2.217601037
5174,0.064937082,0.02154802,-0.762068288,0.594035582,-1.616530455,-2.136567774
5178,0.039491032,0.036241393,1.261265912,0.996938267,-1.842632501,-1.88148584
5179,0.062674612,0.054464441,7.967353108,1.519498961,-1.567908246,-1.627895526
5186,0.052089304,0.031095357,1.261932397,0.861770825,-1.709863597,-1.964121698
5194,0.07189136,0.106230519,3.878751485,2.109304589,-1.509595087,-1.271024023
5195,0.049071855,0.039887813,-1.546772835,0.328328478,-1.750613912,-1.847354276
5197,0.049329293,0.052469741,-1.210931851,1.797380975,-1.742201537,-1.715068095
5199,0.033354553,0.132365282,2.04046483,0.508317905,-1.904507193,-1.163253909
5205,0.039714601,0.062022251,3.918001882,0.509145695,-1.819655849,-1.577749877
5208,0.040867717,0.053188802,5.295014879,1.179818425,-1.813310918,-1.6559989
5210,0.058021002,0.030593532,-0.232997109,1.316134053,-1.679389577,-2.010263793
5215,0.077107192,0.015056556,6.375639174,2.028120938,-1.475326674,-2.288063377
5220,0.043981913,0.027057566,6.100800755,0.71583454,-1.75866965,-1.962224749
5226,0.050837849,0.045879776,7.401774518,0.508400199,-1.66586104,-1.715606607
5228,0.030214115,0.075571959,1.928515362,0.464182892,-1.960714954,-1.524157788
5229,0.070549497,0.020292093,3.350353752,1.284177003,-1.538209528,-2.161118707
5230,0.027374439,0.16258946,-4.8720112,1.582686682,-1.999360787,-1.000770796
5234,0.060692156,0.026275425,-4.89516296,1.403992552,-1.59512674,-2.027979574
5235,0.080329214,0.275888423,0.430544754,0.770106881,-1.519058682,-0.621018477
5246,0.076522836,0.064572846,6.013804427,1.895995247,-1.478588851,-1.564579054
5262,0.050200068,0.040721883,-3.597775173,0.902275314,-1.722679195,-1.812397757
5263,0.094817947,0.031668749,4.231256058,2.175490556,-1.386391862,-1.955538759
5267,0.078580012,0.057740258,8.83218976,1.418422316,-1.450264174,-1.596559715
5274,0.050127528,0.044425823,-2.290461125,1.06829934,-1.720440123,-1.790620994
5278,0.04695546,0.034861583,0.693855618,1.362190956,-1.771138308,-1.910103208
5287,0.07204012,0.017794568,5.159890539,1.223985729,-1.506917977,-2.211294927
5288,0.061165113,0.029622083,-2.956124297,0.658810919,-1.62172179,-2.00754299
5292,0.05368238,0.073042606,2.076066625,1.010653646,-1.680203242,-1.514414511
5297,0.093591072,0.089846055,6.861039881,0.939864805,-1.349483944,-1.368768062
5308,0.019067999,0.079666966,8.89380217,0.324704428,-2.133010105,-1.431335892
5314,0.062768626,0.047202295,4.600453301,1.072799711,-1.589377318,-1.728811606
5001,0.044774212,0.065745455,1.338393861,0.681131353,-1.764857027,-1.556737678
5002,0.055874879,0.040136809,5.417900641,1.434903939,-1.637622328,-1.798480489
5009,0.045842616,0.032986083,3.162360365,0.807648065,-1.772922569,-1.915684515
5012,0.049716222,0.062398656,5.007601539,1.870694844,-1.703680682,-1.572150997
5015,0.061401258,0.024625297,2.61602555,2.144038419,-1.622087561,-2.134262304
5016,0.14851641,0.18500281,8.339781928,1.51524652,-1.066425671,-0.904842214
5018,0.070275602,0.019089545,1.013819965,0.646452625,-1.576757063,-2.182806046
5023,0.068341571,0.062578171,-3.625563301,2.093816569,-1.576285326,-1.650405181
5024,0.078230408,0.012697124,5.767064125,0.965431147,-1.460771186,-2.349353491
5033,0.031374335,0.027398989,5.124935371,0.344220452,-1.918155971,-1.973817811
5039,0.046993819,0.032861133,1.232391108,2.069529272,-1.781647331,-1.941700078
5042,0.032490745,0.058875635,-1.584813989,0.83434488,-1.950108662,-1.947010091
5043,0.039110556,0.097755957,-0.038262915,0.178616824,-1.854467828,-1.421787024
5051,0.039126529,0.035515319,-0.191213083,1.93309012,-1.869272964,-1.984265313
5055,0.056792811,0.033684884,-2.39346701,1.660563496,-1.680738386,-1.934551709
5060,0.049209847,0.032797088,-0.042119348,0.861878372,-1.74426078,-1.96058049
5063,0.04249057,0.036502133,-1.717083702,1.451206257,-1.817020641,-1.884837178
5065,0.044041121,0.038807212,-0.343091681,0.737556665,-1.792161082,-1.857213324
5066,0.077701172,0.070841129,3.219781413,1.905827055,-1.490931174,-1.539912814
5070,0.058428446,0.068295154,1.195109988,1.290427363,-1.649224389,-1.554382301
5071,0.058695948,0.03792583,-1.143445087,0.18638783,-1.676502539,-1.891052366
5078,0.043120161,0.055530286,-2.081355265,1.932270978,-1.809681415,-1.674332904
5079,0.046026001,0.036990973,3.287663142,0.468606365,-1.752204151,-1.851924695
5082,0.062938235,0.105138091,4.883225282,1.556486109,-1.56733563,-1.272748413
5083,0.043089567,0.042911012,2.769286226,0.560385734,-1.780763346,-1.818949064
5093,0.044740537,0.040132093,-0.255305639,0.920193586,-1.785339788,-1.868811086
5098,0.057916128,0.051205503,12.25995776,1.511499097,-1.597070847,-1.651204931
5100,0.039108364,0.038337801,3.271742027,0.389826705,-1.840617513,-1.842222801
5101,0.079893851,0.028106321,2.025570526,1.584203473,-1.494927717,-2.00839486
5103,0.061913244,0.02962891,-2.254072082,0.362016785,-1.634961406,-2.00355734
5104,0.054909945,0.035955847,-0.920500983,1.378220611,-1.682310784,-1.90507888
5110,0.058729429,0.050600944,3.403578535,1.37749113,-1.621132771,-1.690088665
5112,0.045429898,0.089547608,-2.625799664,0.593803186,-1.768766227,-1.386904496
5114,0.052539057,0.031224875,-1.589079281,0.468861617,-1.723118027,-2.033750409
5123,0.053534253,0.260342755,1.36079617,1.986627879,-1.687663218,-0.667773691
5127,0.099299249,0.093061938,6.962719255,1.280326718,-1.329389727,-1.349480994
5128,0.054072026,0.02130241,1.041239335,0.808752129,-1.700206161,-2.128052548
5141,0.053431984,0.040847488,-0.162907417,0.459552087,-1.705517127,-1.837414967
5148,0.039260175,0.256741862,-4.771338166,1.682629049,-1.83892728,-0.664365044
5152,0.060454113,0.021437982,4.30120021,1.458220372,-1.603958429,-2.131328339
5154,0.136746604,0.087290038,10.03449529,1.297538472,-1.123988513,-1.377942002
5156,0.049857057,0.043730059,-2.198489676,0.574180523,-1.739175197,-1.813458184
5160,0.031328657,0.128265568,-0.847918652,1.722369851,-1.937317704,-1.162089884
5168,0.065467213,0.027373791,-2.271557331,1.618575029,-1.590260025,-2.042193878
5175,0.052333673,0.018070384,0.788257129,0.95516365,-1.71477155,-2.243032546
5180,0.045075254,0.129525116,-0.585966088,2.109383509,-1.778451293,-1.154319634
5183,0.04998981,0.038609552,3.286899064,1.175721999,-1.699796148,-1.844630827
5184,0.070804262,0.041790748,3.199344415,1.404686739,-1.535019567,-1.805992872
5187,0.058161293,0.06222598,3.933531421,1.643565206,-1.628644176,-1.572868972
5193,0.046918453,0.048232182,1.388752491,1.629920113,-1.772763238,-1.745658685
5198,0.059034925,0.025575679,2.893745792,0.040967242,-1.623877078,-2.047478147
5200,0.038665969,0.069635872,1.509596428,1.021726211,-1.845532412,-1.524173314
5202,0.071498443,0.108895076,9.499178008,1.469026777,-1.499178574,-1.251411342
5204,0.07529634,0.051015717,12.02848651,1.635257001,-1.461836289,-1.654724254
5209,0.044928258,0.060186108,0.66377336,0.397744016,-1.772972248,-1.635101637
5212,0.057855949,0.086112654,-1.352311919,0.504524907,-1.654846764,-1.456949817
5213,0.059239502,0.032403898,6.887059827,1.746498517,-1.606188049,-1.902138624
5218,0.043029514,0.041110324,0.896529968,0.130722388,-1.796741542,-1.85363108
5222,0.059335942,0.03401149,2.773715546,1.266276075,-1.630967999,-1.925014473
5232,0.054767169,0.024748525,2.830979452,0.887091734,-1.67103045,-2.064072057
5240,0.080490298,0.028624081,1.621288451,1.562885282,-1.518468501,-2.060249894
5242,0.044513461,0.088305084,5.374712932,0.952824921,-1.740276257,-1.376781101
5249,0.039312703,0.085620996,0.259733263,1.454877316,-1.837086125,-1.418730253
5253,0.057748075,0.025238422,2.647359692,0.961497421,-1.647478065,-2.054170208
5271,0.056353882,0.020676974,2.918959456,1.486241085,-1.653635162,-2.16839868
5272,0.048454347,0.030999502,-0.808766105,1.050457968,-1.748896583,-1.982191045
5277,0.063172287,0.424293358,-0.27426651,1.455193999,-1.611877466,-0.196742516
5279,0.043710063,0.052797677,2.022385937,1.535872485,-1.792533275,-1.677661745
5282,0.076168221,0.104130448,7.496737349,1.702126664,-1.461166218,-1.274311632
5295,0.047638589,0.056092026,-0.712708279,1.68557584,-1.750004436,-1.669370385
5296,0.04513846,0.045453148,6.014873963,0.844353129,-1.736774641,-1.730166512
5298,0.048043725,0.035754012,-1.53654453,1.416143389,-1.755705393,-1.897801909
5300,0.019810603,0.102360721,5.187531627,0.836886545,-2.199021689,-1.362286797
5306,0.063123094,0.026810594,0.763554725,1.957599679,-1.617601946,-2.05285364
5307,0.059723812,0.013474329,4.484643413,1.578402452,-1.611087014,-2.348532146
5322,0.032411333,0.035495209,8.896026368,1.375191821,-1.897647155,-1.833529785
5347,0.051242574,0.05242969,10.63579621,0.844955066,-1.660660495,-1.643980094